Market_Rate,Friction,Rate_Velocity,CPR_US,CPR_Danish,Cohort_Coupon,Cohort_Term
0.02,0.05,0.02,0.3872,0.032194999999999974,0.015,180
0.025,0.05,0.02,0.3295,0.03239000000000003,0.015,180
0.030000000000000002,0.05,0.02,0.2827,0.032584999999999975,0.015,180
0.035,0.05,0.02,0.2392,0.03278000000000003,0.015,180
0.04000000000000001,0.05,0.02,0.2057,0.03297499999999998,0.015,180
0.045000000000000005,0.05,0.02,0.1735,0.03317000000000003,0.015,180
0.05,0.05,0.02,0.1457,0.03336499999999998,0.015,180
0.05500000000000001,0.05,0.02,0.1242,0.033560000000000034,0.015,180
0.06000000000000001,0.05,0.02,0.1052,0.03375499999999998,0.015,180
0.065,0.05,0.02,0.0893,0.033950000000000036,0.015,180
0.07,0.05,0.02,0.076,0.03414499999999998,0.015,180
0.07500000000000001,0.05,0.02,0.0657,0.03434000000000004,0.015,180
0.08000000000000002,0.05,0.02,0.0563,0.03453499999999998,0.015,180
0.02,0.05,0.025,0.3872,0.032194999999999974,0.015,180
0.025,0.05,0.025,0.3295,0.03239000000000003,0.015,180
0.030000000000000002,0.05,0.025,0.2827,0.032584999999999975,0.015,180
0.035,0.05,0.025,0.2392,0.03278000000000003,0.015,180
0.04000000000000001,0.05,0.025,0.2057,0.03297499999999998,0.015,180
0.045000000000000005,0.05,0.025,0.1735,0.03317000000000003,0.015,180
0.05,0.05,0.025,0.1457,0.03336499999999998,0.015,180
0.05500000000000001,0.05,0.025,0.1242,0.033560000000000034,0.015,180
0.06000000000000001,0.05,0.025,0.1052,0.03375499999999998,0.015,180
0.065,0.05,0.025,0.0893,0.033950000000000036,0.015,180
0.07,0.05,0.025,0.076,0.03414499999999998,0.015,180
0.07500000000000001,0.05,0.025,0.0657,0.03434000000000004,0.015,180
0.08000000000000002,0.05,0.025,0.0563,0.03453499999999998,0.015,180
0.02,0.05,0.03,0.3872,0.032194999999999974,0.015,180
0.025,0.05,0.03,0.3295,0.03239000000000003,0.015,180
0.030000000000000002,0.05,0.03,0.2827,0.032584999999999975,0.015,180
0.035,0.05,0.03,0.2392,0.03278000000000003,0.015,180
0.04000000000000001,0.05,0.03,0.2057,0.03297499999999998,0.015,180
0.045000000000000005,0.05,0.03,0.1735,0.03317000000000003,0.015,180
0.05,0.05,0.03,0.1457,0.03336499999999998,0.015,180
0.05500000000000001,0.05,0.03,0.1242,0.033560000000000034,0.015,180
0.06000000000000001,0.05,0.03,0.1052,0.03375499999999998,0.015,180
0.065,0.05,0.03,0.0893,0.033950000000000036,0.015,180
0.07,0.05,0.03,0.076,0.03414499999999998,0.015,180
0.07500000000000001,0.05,0.03,0.0657,0.03434000000000004,0.015,180
0.08000000000000002,0.05,0.03,0.0563,0.03453499999999998,0.015,180
0.02,0.05,0.035,0.3872,0.032194999999999974,0.015,180
0.025,0.05,0.035,0.3295,0.03239000000000003,0.015,180
0.030000000000000002,0.05,0.035,0.2827,0.032584999999999975,0.015,180
0.035,0.05,0.035,0.2392,0.03278000000000003,0.015,180
0.04000000000000001,0.05,0.035,0.2057,0.03297499999999998,0.015,180
0.045000000000000005,0.05,0.035,0.1735,0.03317000000000003,0.015,180
0.05,0.05,0.035,0.1457,0.03336499999999998,0.015,180
0.05500000000000001,0.05,0.035,0.1242,0.033560000000000034,0.015,180
0.06000000000000001,0.05,0.035,0.1052,0.03375499999999998,0.015,180
0.065,0.05,0.035,0.0893,0.033950000000000036,0.015,180
0.07,0.05,0.035,0.076,0.03414499999999998,0.015,180
0.07500000000000001,0.05,0.035,0.0657,0.03434000000000004,0.015,180
0.08000000000000002,0.05,0.035,0.0563,0.03453499999999998,0.015,180
0.02,0.055,-0.01,0.4659,0.032194999999999974,0.015,180
0.025,0.055,-0.01,0.3964,0.03239000000000003,0.015,180
0.030000000000000002,0.055,-0.01,0.3388,0.032584999999999975,0.015,180
0.035,0.055,-0.01,0.2888,0.03278000000000003,0.015,180
0.04000000000000001,0.055,-0.01,0.2473,0.03297499999999998,0.015,180
0.045000000000000005,0.055,-0.01,0.2122,0.03317000000000003,0.015,180
0.05,0.055,-0.01,0.1794,0.03336499999999998,0.015,180
0.05500000000000001,0.055,-0.01,0.1507,0.033560000000000034,0.015,180
0.06000000000000001,0.055,-0.01,0.1285,0.03375499999999998,0.015,180
0.065,0.055,-0.01,0.1091,0.033950000000000036,0.015,180
0.07,0.055,-0.01,0.0923,0.03414499999999998,0.015,180
0.07500000000000001,0.055,-0.01,0.0783,0.03434000000000004,0.015,180
0.08000000000000002,0.055,-0.01,0.0674,0.03453499999999998,0.015,180
0.02,0.055,-0.005,0.4659,0.032194999999999974,0.015,180
0.025,0.055,-0.005,0.3964,0.03239000000000003,0.015,180
0.030000000000000002,0.055,-0.005,0.3388,0.032584999999999975,0.015,180
0.035,0.055,-0.005,0.2888,0.03278000000000003,0.015,180
0.04000000000000001,0.055,-0.005,0.2473,0.03297499999999998,0.015,180
0.045000000000000005,0.055,-0.005,0.2122,0.03317000000000003,0.015,180
0.05,0.055,-0.005,0.1794,0.03336499999999998,0.015,180
0.05500000000000001,0.055,-0.005,0.1507,0.033560000000000034,0.015,180
0.06000000000000001,0.055,-0.005,0.1285,0.03375499999999998,0.015,180
0.065,0.055,-0.005,0.1091,0.033950000000000036,0.015,180
0.07,0.055,-0.005,0.0923,0.03414499999999998,0.015,180
0.07500000000000001,0.055,-0.005,0.0783,0.03434000000000004,0.015,180
0.08000000000000002,0.055,-0.005,0.0674,0.03453499999999998,0.015,180
0.02,0.055,0.0,0.4659,0.032194999999999974,0.015,180
0.025,0.055,0.0,0.3964,0.03239000000000003,0.015,180
0.030000000000000002,0.055,0.0,0.3388,0.032584999999999975,0.015,180
0.035,0.055,0.0,0.2888,0.03278000000000003,0.015,180
0.04000000000000001,0.055,0.0,0.2473,0.03297499999999998,0.015,180
0.045000000000000005,0.055,0.0,0.2122,0.03317000000000003,0.015,180
0.05,0.055,0.0,0.1794,0.03336499999999998,0.015,180
0.05500000000000001,0.055,0.0,0.1507,0.033560000000000034,0.015,180
0.06000000000000001,0.055,0.0,0.1285,0.03375499999999998,0.015,180
0.065,0.055,0.0,0.1091,0.033950000000000036,0.015,180
0.07,0.055,0.0,0.0923,0.03414499999999998,0.015,180
0.07500000000000001,0.055,0.0,0.0783,0.03434000000000004,0.015,180
0.08000000000000002,0.055,0.0,0.0674,0.03453499999999998,0.015,180
0.02,0.055,0.005,0.4659,0.032194999999999974,0.015,180
0.025,0.055,0.005,0.3964,0.03239000000000003,0.015,180
0.030000000000000002,0.055,0.005,0.3388,0.032584999999999975,0.015,180
0.035,0.055,0.005,0.2888,0.03278000000000003,0.015,180
0.04000000000000001,0.055,0.005,0.2473,0.03297499999999998,0.015,180
0.045000000000000005,0.055,0.005,0.2122,0.03317000000000003,0.015,180
0.05,0.055,0.005,0.1794,0.03336499999999998,0.015,180
0.05500000000000001,0.055,0.005,0.1507,0.033560000000000034,0.015,180
0.06000000000000001,0.055,0.005,0.1285,0.03375499999999998,0.015,180
0.065,0.055,0.005,0.1091,0.033950000000000036,0.015,180
0.07,0.055,0.005,0.0923,0.03414499999999998,0.015,180
0.07500000000000001,0.055,0.005,0.0783,0.03434000000000004,0.015,180
0.08000000000000002,0.055,0.005,0.0674,0.03453499999999998,0.015,180
0.02,0.055,0.01,0.4659,0.032194999999999974,0.015,180
0.025,0.055,0.01,0.3964,0.03239000000000003,0.015,180
0.030000000000000002,0.055,0.01,0.3388,0.032584999999999975,0.015,180
0.035,0.055,0.01,0.2888,0.03278000000000003,0.015,180
0.04000000000000001,0.055,0.01,0.2473,0.03297499999999998,0.015,180
0.045000000000000005,0.055,0.01,0.2122,0.03317000000000003,0.015,180
0.05,0.055,0.01,0.1794,0.03336499999999998,0.015,180
0.05500000000000001,0.055,0.01,0.1507,0.033560000000000034,0.015,180
0.06000000000000001,0.055,0.01,0.1285,0.03375499999999998,0.015,180
0.065,0.055,0.01,0.1091,0.033950000000000036,0.015,180
0.07,0.055,0.01,0.0923,0.03414499999999998,0.015,180
0.07500000000000001,0.055,0.01,0.0783,0.03434000000000004,0.015,180
0.08000000000000002,0.055,0.01,0.0674,0.03453499999999998,0.015,180
0.02,0.055,0.015,0.4659,0.032194999999999974,0.015,180
0.025,0.055,0.015,0.3964,0.03239000000000003,0.015,180
0.030000000000000002,0.055,0.015,0.3388,0.032584999999999975,0.015,180
0.035,0.055,0.015,0.2888,0.03278000000000003,0.015,180
0.04000000000000001,0.055,0.015,0.2473,0.03297499999999998,0.015,180
0.045000000000000005,0.055,0.015,0.2122,0.03317000000000003,0.015,180
0.05,0.055,0.015,0.1794,0.03336499999999998,0.015,180
0.05500000000000001,0.055,0.015,0.1507,0.033560000000000034,0.015,180
0.06000000000000001,0.055,0.015,0.1285,0.03375499999999998,0.015,180
0.065,0.055,0.015,0.1091,0.033950000000000036,0.015,180
0.07,0.055,0.015,0.0923,0.03414499999999998,0.015,180
0.07500000000000001,0.055,0.015,0.0783,0.03434000000000004,0.015,180
0.08000000000000002,0.055,0.015,0.0674,0.03453499999999998,0.015,180
0.02,0.055,0.02,0.3711,0.032194999999999974,0.015,180
0.025,0.055,0.02,0.3159,0.03239000000000003,0.015,180
0.030000000000000002,0.055,0.02,0.2692,0.032584999999999975,0.015,180
0.035,0.055,0.02,0.2301,0.03278000000000003,0.015,180
0.04000000000000001,0.055,0.02,0.1976,0.03297499999999998,0.015,180
0.045000000000000005,0.055,0.02,0.1668,0.03317000000000003,0.015,180
0.05,0.055,0.02,0.1401,0.03336499999999998,0.015,180
0.05500000000000001,0.055,0.02,0.12,0.033560000000000034,0.015,180
0.06000000000000001,0.055,0.02,0.1019,0.03375499999999998,0.015,180
0.065,0.055,0.02,0.0865,0.033950000000000036,0.015,180
0.07,0.055,0.02,0.0736,0.03414499999999998,0.015,180
0.07500000000000001,0.055,0.02,0.0631,0.03434000000000004,0.015,180
0.08000000000000002,0.055,0.02,0.0544,0.03453499999999998,0.015,180
0.02,0.055,0.025,0.3711,0.032194999999999974,0.015,180
0.025,0.055,0.025,0.3159,0.03239000000000003,0.015,180
0.030000000000000002,0.055,0.025,0.2692,0.032584999999999975,0.015,180
0.035,0.055,0.025,0.2301,0.03278000000000003,0.015,180
0.04000000000000001,0.055,0.025,0.1976,0.03297499999999998,0.015,180
0.045000000000000005,0.055,0.025,0.1668,0.03317000000000003,0.015,180
0.05,0.055,0.025,0.1401,0.03336499999999998,0.015,180
0.05500000000000001,0.055,0.025,0.12,0.033560000000000034,0.015,180
0.06000000000000001,0.055,0.025,0.1019,0.03375499999999998,0.015,180
0.065,0.055,0.025,0.0865,0.033950000000000036,0.015,180
0.07,0.055,0.025,0.0736,0.03414499999999998,0.015,180
0.07500000000000001,0.055,0.025,0.0631,0.03434000000000004,0.015,180
0.08000000000000002,0.055,0.025,0.0544,0.03453499999999998,0.015,180
0.02,0.055,0.03,0.3711,0.032194999999999974,0.015,180
0.025,0.055,0.03,0.3159,0.03239000000000003,0.015,180
0.030000000000000002,0.055,0.03,0.2692,0.032584999999999975,0.015,180
0.035,0.055,0.03,0.2301,0.03278000000000003,0.015,180
0.04000000000000001,0.055,0.03,0.1976,0.03297499999999998,0.015,180
0.045000000000000005,0.055,0.03,0.1668,0.03317000000000003,0.015,180
0.05,0.055,0.03,0.1401,0.03336499999999998,0.015,180
0.05500000000000001,0.055,0.03,0.12,0.033560000000000034,0.015,180
0.06000000000000001,0.055,0.03,0.1019,0.03375499999999998,0.015,180
0.065,0.055,0.03,0.0865,0.033950000000000036,0.015,180
0.07,0.055,0.03,0.0736,0.03414499999999998,0.015,180
0.07500000000000001,0.055,0.03,0.0631,0.03434000000000004,0.015,180
0.08000000000000002,0.055,0.03,0.0544,0.03453499999999998,0.015,180
0.02,0.055,0.035,0.3711,0.032194999999999974,0.015,180
0.025,0.055,0.035,0.3159,0.03239000000000003,0.015,180
0.030000000000000002,0.055,0.035,0.2692,0.032584999999999975,0.015,180
