Market_Rate,Friction,Rate_Velocity,CPR_US,CPR_Danish
0.045000000000000005,0.05,0.01,0.0482,0.032584999999999975
0.05,0.05,0.01,0.0408,0.03278000000000003
0.05500000000000001,0.05,0.01,0.0395,0.03297499999999998
0.06000000000000001,0.05,0.01,0.0394,0.03317000000000003
0.065,0.05,0.01,0.0394,0.03336499999999998
0.07,0.05,0.01,0.0394,0.033560000000000034
0.07500000000000001,0.05,0.01,0.0394,0.03375499999999998
0.08000000000000002,0.05,0.01,0.0394,0.033950000000000036
0.02,0.05,0.015,0.3344,0.03161000000000003
0.025,0.05,0.015,0.2338,0.03180499999999997
0.030000000000000002,0.05,0.015,0.1613,0.03200000000000003
0.035,0.05,0.015,0.1051,0.032194999999999974
0.04000000000000001,0.05,0.015,0.071,0.03239000000000003
0.045000000000000005,0.05,0.015,0.0482,0.032584999999999975
0.05,0.05,0.015,0.0408,0.03278000000000003
0.05500000000000001,0.05,0.015,0.0395,0.03297499999999998
0.06000000000000001,0.05,0.015,0.0394,0.03317000000000003
0.065,0.05,0.015,0.0394,0.03336499999999998
0.07,0.05,0.015,0.0394,0.033560000000000034
0.07500000000000001,0.05,0.015,0.0394,0.03375499999999998
0.08000000000000002,0.05,0.015,0.0394,0.033950000000000036
0.02,0.05,0.02,0.2728,0.03161000000000003
0.025,0.05,0.02,0.1915,0.03180499999999997
0.030000000000000002,0.05,0.02,0.1356,0.03200000000000003
0.035,0.05,0.02,0.0903,0.032194999999999974
0.04000000000000001,0.05,0.02,0.0632,0.03239000000000003
0.045000000000000005,0.05,0.02,0.0457,0.032584999999999975
0.05,0.05,0.02,0.0405,0.03278000000000003
0.05500000000000001,0.05,0.02,0.0395,0.03297499999999998
0.06000000000000001,0.05,0.02,0.0394,0.03317000000000003
0.065,0.05,0.02,0.0394,0.03336499999999998
0.07,0.05,0.02,0.0394,0.033560000000000034
0.07500000000000001,0.05,0.02,0.0394,0.03375499999999998
0.08000000000000002,0.05,0.02,0.0394,0.033950000000000036
0.02,0.05,0.025,0.2728,0.03161000000000003
0.025,0.05,0.025,0.1915,0.03180499999999997
0.030000000000000002,0.05,0.025,0.1356,0.03200000000000003
0.035,0.05,0.025,0.0903,0.032194999999999974
0.04000000000000001,0.05,0.025,0.0632,0.03239000000000003
0.045000000000000005,0.05,0.025,0.0457,0.032584999999999975
0.05,0.05,0.025,0.0405,0.03278000000000003
0.05500000000000001,0.05,0.025,0.0395,0.03297499999999998
0.06000000000000001,0.05,0.025,0.0394,0.03317000000000003
0.065,0.05,0.025,0.0394,0.03336499999999998
0.07,0.05,0.025,0.0394,0.033560000000000034
0.07500000000000001,0.05,0.025,0.0394,0.03375499999999998
0.08000000000000002,0.05,0.025,0.0394,0.033950000000000036
0.02,0.05,0.03,0.2728,0.03161000000000003
0.025,0.05,0.03,0.1915,0.03180499999999997
0.030000000000000002,0.05,0.03,0.1356,0.03200000000000003
0.035,0.05,0.03,0.0903,0.032194999999999974
0.04000000000000001,0.05,0.03,0.0632,0.03239000000000003
0.045000000000000005,0.05,0.03,0.0457,0.032584999999999975
0.05,0.05,0.03,0.0405,0.03278000000000003
0.05500000000000001,0.05,0.03,0.0395,0.03297499999999998
0.06000000000000001,0.05,0.03,0.0394,0.03317000000000003
0.065,0.05,0.03,0.0394,0.03336499999999998
0.07,0.05,0.03,0.0394,0.033560000000000034
0.07500000000000001,0.05,0.03,0.0394,0.03375499999999998
0.08000000000000002,0.05,0.03,0.0394,0.033950000000000036
0.02,0.05,0.035,0.2728,0.03161000000000003
0.025,0.05,0.035,0.1915,0.03180499999999997
0.030000000000000002,0.05,0.035,0.1356,0.03200000000000003
0.035,0.05,0.035,0.0903,0.032194999999999974
0.04000000000000001,0.05,0.035,0.0632,0.03239000000000003
0.045000000000000005,0.05,0.035,0.0457,0.032584999999999975
0.05,0.05,0.035,0.0405,0.03278000000000003
0.05500000000000001,0.05,0.035,0.0395,0.03297499999999998
0.06000000000000001,0.05,0.035,0.0394,0.03317000000000003
0.065,0.05,0.035,0.0394,0.03336499999999998
0.07,0.05,0.035,0.0394,0.033560000000000034
0.07500000000000001,0.05,0.035,0.0394,0.03375499999999998
0.08000000000000002,0.05,0.035,0.0394,0.033950000000000036
0.02,0.055,-0.01,0.2876,0.03161000000000003
0.025,0.055,-0.01,0.2016,0.03180499999999997
0.030000000000000002,0.055,-0.01,0.137,0.03200000000000003
0.035,0.055,-0.01,0.0923,0.032194999999999974
0.04000000000000001,0.055,-0.01,0.061,0.03239000000000003
0.045000000000000005,0.055,-0.01,0.0449,0.032584999999999975
0.05,0.055,-0.01,0.0404,0.03278000000000003
0.05500000000000001,0.055,-0.01,0.0394,0.03297499999999998
0.06000000000000001,0.055,-0.01,0.0394,0.03317000000000003
0.065,0.055,-0.01,0.0394,0.03336499999999998
0.07,0.055,-0.01,0.0394,0.033560000000000034
0.07500000000000001,0.055,-0.01,0.0394,0.03375499999999998
0.08000000000000002,0.055,-0.01,0.0394,0.033950000000000036
0.02,0.055,-0.005,0.2876,0.03161000000000003
0.025,0.055,-0.005,0.2016,0.03180499999999997
0.030000000000000002,0.055,-0.005,0.137,0.03200000000000003
0.035,0.055,-0.005,0.0923,0.032194999999999974
0.04000000000000001,0.055,-0.005,0.061,0.03239000000000003
0.045000000000000005,0.055,-0.005,0.0449,0.032584999999999975
0.05,0.055,-0.005,0.0404,0.03278000000000003
0.05500000000000001,0.055,-0.005,0.0394,0.03297499999999998
0.06000000000000001,0.055,-0.005,0.0394,0.03317000000000003
0.065,0.055,-0.005,0.0394,0.03336499999999998
0.07,0.055,-0.005,0.0394,0.033560000000000034
0.07500000000000001,0.055,-0.005,0.0394,0.03375499999999998
0.08000000000000002,0.055,-0.005,0.0394,0.033950000000000036
0.02,0.055,0.0,0.2876,0.03161000000000003
0.025,0.055,0.0,0.2016,0.03180499999999997
0.030000000000000002,0.055,0.0,0.137,0.03200000000000003
0.035,0.055,0.0,0.0923,0.032194999999999974
0.04000000000000001,0.055,0.0,0.061,0.03239000000000003
0.045000000000000005,0.055,0.0,0.0449,0.032584999999999975
0.05,0.055,0.0,0.0404,0.03278000000000003
0.05500000000000001,0.055,0.0,0.0394,0.03297499999999998
0.06000000000000001,0.055,0.0,0.0394,0.03317000000000003
0.065,0.055,0.0,0.0394,0.03336499999999998
0.07,0.055,0.0,0.0394,0.033560000000000034
0.07500000000000001,0.055,0.0,0.0394,0.03375499999999998
0.08000000000000002,0.055,0.0,0.0394,0.033950000000000036
0.02,0.055,0.005,0.2876,0.03161000000000003
0.025,0.055,0.005,0.2016,0.03180499999999997
0.030000000000000002,0.055,0.005,0.137,0.03200000000000003
0.035,0.055,0.005,0.0923,0.032194999999999974
0.04000000000000001,0.055,0.005,0.061,0.03239000000000003
0.045000000000000005,0.055,0.005,0.0449,0.032584999999999975
0.05,0.055,0.005,0.0404,0.03278000000000003
0.05500000000000001,0.055,0.005,0.0394,0.03297499999999998
0.06000000000000001,0.055,0.005,0.0394,0.03317000000000003
0.065,0.055,0.005,0.0394,0.03336499999999998
0.07,0.055,0.005,0.0394,0.033560000000000034
0.07500000000000001,0.055,0.005,0.0394,0.03375499999999998
0.08000000000000002,0.055,0.005,0.0394,0.033950000000000036
0.02,0.055,0.01,0.2876,0.03161000000000003
0.025,0.055,0.01,0.2016,0.03180499999999997
0.030000000000000002,0.055,0.01,0.137,0.03200000000000003
0.035,0.055,0.01,0.0923,0.032194999999999974
0.04000000000000001,0.055,0.01,0.061,0.03239000000000003
0.045000000000000005,0.055,0.01,0.0449,0.032584999999999975
0.05,0.055,0.01,0.0404,0.03278000000000003
0.05500000000000001,0.055,0.01,0.0394,0.03297499999999998
0.06000000000000001,0.055,0.01,0.0394,0.03317000000000003
0.065,0.055,0.01,0.0394,0.03336499999999998
0.07,0.055,0.01,0.0394,0.033560000000000034
0.07500000000000001,0.055,0.01,0.0394,0.03375499999999998
0.08000000000000002,0.055,0.01,0.0394,0.033950000000000036
0.02,0.055,0.015,0.2876,0.03161000000000003
0.025,0.055,0.015,0.2016,0.03180499999999997
0.030000000000000002,0.055,0.015,0.137,0.03200000000000003
0.035,0.055,0.015,0.0923,0.032194999999999974
